,0
0,48.0
1,47.0
2,49.0
3,35.0
4,60.0
5,63.0
6,48.0
7,72.0
8,98.0
9,46.0
10,58.0
11,70.0
12,47.0
13,31.0
14,73.0
15,43.0
16,73.0
17,70.0
18,34.0
19,56.0
20,61.0
21,111.0
22,48.0
23,48.0
24,122.0
25,66.0
26,73.0
27,60.0
28,58.0
29,32.0
30,86.0
31,35.0
32,36.0
33,73.0
34,47.0
35,33.0
36,46.0
37,60.0
38,61.0
39,70.0
40,91.0
41,95.0
42,61.0
43,49.0
44,58.0
45,30.0
46,45.0
47,36.0
48,46.0
49,61.0
50,48.0
51,45.0
52,46.0
53,48.0
54,67.0
55,46.0
56,49.0
57,46.0
58,62.0
59,33.0
60,74.0
61,60.0
62,63.0
63,60.0
64,32.0
65,48.0
66,32.0
67,34.0
68,74.0
69,36.0
70,94.0
71,61.0
72,48.0
73,73.0
74,71.0
75,56.0
76,47.0
77,34.0
78,49.0
79,46.0
80,121.0
81,49.0
82,47.0
83,44.0
84,55.0
85,61.0
86,46.0
87,87.0
88,60.0
89,47.0
90,35.0
91,33.0
92,93.0
93,56.0
94,46.0
95,58.0
