,0
0,347918.0
1,264447.0
2,207235.0
3,170565.0
4,149346.0
5,131994.0
6,127615.0
7,80655.0
8,78365.0
9,60761.0
10,54685.0
11,44310.0
12,40042.0
13,31884.0
14,29016.0
15,28022.0
16,20765.0
17,19618.0
18,18355.0
19,17501.0
20,14998.0
21,13014.0
22,10627.0
23,10273.0
24,10249.0
25,9490.0
26,8925.0
27,8161.0
28,8113.0
29,7957.0
30,6382.0
31,6379.0
32,6347.0
33,6173.0
34,5477.0
35,5165.0
36,4470.0
37,4390.0
38,3866.0
39,3728.0
40,3648.0
41,3197.0
42,3145.0
43,3011.0
44,2900.0
45,2731.0
46,2472.0
47,2457.0
48,2412.0
49,2274.0
50,2260.0
51,2258.0
52,2199.0
53,2126.0
54,2051.0
55,2010.0
56,1925.0
57,1915.0
58,1843.0
59,1653.0
60,1588.0
61,1485.0
62,1461.0
63,1411.0
64,1372.0
65,1367.0
66,1366.0
67,1224.0
68,1218.0
69,1187.0
70,1140.0
71,977.0
72,820.0
73,814.0
74,796.0
75,792.0
76,665.0
77,657.0
78,638.0
79,615.0
80,601.0
81,588.0
82,569.0
83,567.0
84,536.0
85,531.0
86,507.0
87,506.0
88,294.0
89,144.0
90,128.0
91,100.0
92,83.0
93,80.0
94,44.0
95,34.0
