,0
0,26943.0
1,24816.0
2,24407.0
3,20363.0
4,19051.0
5,19026.0
6,18168.0
7,15003.0
8,13737.0
9,13257.0
10,10361.0
11,9897.0
12,9614.0
13,9406.0
14,9146.0
15,8956.0
16,8860.0
17,8629.0
18,8228.0
19,7788.0
20,7758.0
21,7461.0
22,7314.0
23,7300.0
24,7128.0
25,7121.0
26,6642.0
27,6565.0
28,6553.0
29,6219.0
30,6121.0
31,6117.0
32,6045.0
33,5991.0
34,5903.0
35,5891.0
36,5784.0
37,5765.0
38,5603.0
39,5460.0
40,5441.0
41,5366.0
42,5234.0
43,5175.0
44,4749.0
45,4707.0
46,4514.0
47,4496.0
48,4430.0
49,4248.0
50,4089.0
51,3979.0
52,3665.0
53,3644.0
54,3502.0
55,3473.0
56,3471.0
57,3435.0
58,3422.0
59,3324.0
60,3286.0
61,3152.0
62,3133.0
63,3075.0
64,2957.0
65,2927.0
66,2894.0
67,2850.0
68,2818.0
69,2770.0
70,2730.0
71,2705.0
72,2702.0
73,2529.0
74,2515.0
75,2504.0
76,2436.0
77,2417.0
78,2335.0
79,2274.0
80,2209.0
81,2045.0
82,1928.0
83,1914.0
84,1901.0
85,1874.0
86,1856.0
87,1776.0
88,1674.0
89,1595.0
90,1591.0
91,1572.0
92,1557.0
93,1448.0
94,1283.0
95,1196.0
96,1063.0
97,968.0
