,0
0,4338550.0
1,2661474.0
2,1898519.0
3,1750527.0
4,1324113.0
5,415605.0
6,294909.0
7,272772.0
8,235361.0
9,120834.0
10,114502.0
11,89625.0
12,88778.0
13,75951.0
14,59450.0
15,52754.0
16,50513.0
17,34218.0
18,26040.0
19,25501.0
20,24775.0
21,21365.0
22,20441.0
23,19886.0
24,19266.0
25,18395.0
26,12964.0
27,12235.0
28,11307.0
29,10836.0
30,10150.0
31,10126.0
32,9860.0
33,9516.0
34,8676.0
35,7828.0
36,7504.0
37,7354.0
38,7127.0
39,6238.0
40,6001.0
41,5578.0
42,5528.0
43,4467.0
44,4096.0
45,4007.0
46,3628.0
47,3607.0
48,3031.0
49,3001.0
50,2725.0
51,2356.0
52,2264.0
53,2202.0
54,2039.0
55,1765.0
56,1605.0
57,1585.0
58,1508.0
59,1506.0
60,1455.0
61,1409.0
62,1404.0
63,1253.0
64,1157.0
65,1110.0
66,1014.0
67,972.0
68,897.0
69,884.0
70,804.0
71,474.0
72,318.0
73,231.0
74,201.0
75,194.0
76,177.0
77,159.0
78,99.0
79,93.0
80,84.0
81,81.0
82,81.0
83,77.0
84,72.0
85,36.0
86,35.0
87,34.0
88,34.0
89,33.0
90,33.0
91,33.0
92,33.0
93,32.0
94,31.0
95,20.0
