,0
0,7069.0
1,1391.0
2,21040.0
3,2268.0
4,6920.0
5,510.0
6,2399.0
7,9630.0
8,4936.0
9,2617.0
10,1838.0
11,755.0
12,4311.0
13,1232.0
14,1273.0
15,6256.0
16,5235.0
17,4646.0
18,5627.0
19,16846.0
20,1318.0
21,873.0
22,6729.0
23,13746.0
24,1688.0
25,12345.0
26,1627.0
27,5586.0
28,2228.0
29,3864.0
30,5170.0
31,28144.0
32,4553.0
33,3704.0
34,18147.0
35,9973.0
36,1328.0
37,3978.0
38,1718.0
39,5191.0
40,11823.0
41,8308.0
42,7888.0
43,2962.0
44,14103.0
45,4091.0
46,15532.0
47,1938.0
48,7183.0
49,6267.0
50,3933.0
51,3338.0
52,2930.0
53,1838.0
54,4728.0
55,13232.0
56,14096.0
57,11513.0
58,7129.0
59,6941.0
60,12741.0
61,5350.0
62,2354.0
63,10131.0
64,4420.0
65,5967.0
66,3524.0
67,11132.0
68,5288.0
69,3925.0
70,2777.0
71,3607.0
72,1497.0
73,5669.0
74,4422.0
75,10582.0
76,1942.0
77,1707.0
78,2062.0
79,10149.0
80,3399.0
81,7007.0
82,14739.0
83,1017.0
84,1922.0
85,1220.0
86,7724.0
87,6578.0
88,6544.0
89,4901.0
90,2126.0
91,3354.0
92,1548.0
93,8911.0
94,9922.0
95,5547.0
96,6203.0
97,4616.0
