,0
0,114498.0
1,1260.0
2,4042.0
3,73191.0
4,1152.0
5,13262.0
6,4878.0
7,4279.0
8,2911.0
9,46552.0
10,2780.0
11,46.0
12,794.0
13,689.0
14,342422.0
15,186.0
16,10960.0
17,14642.0
18,13874.0
19,3783.0
20,1512.0
21,98.0
22,6799.0
23,6826.0
24,1552.0
25,131995.0
26,1060.0
27,14384.0
28,102.0
29,2184547.0
30,124426.0
31,8474.0
32,10304.0
33,12063.0
34,50470.0
35,13161.0
36,11235.0
37,84353.0
38,1930.0
39,2291.0
40,3038.0
41,1632.0
42,50.0
43,490.0
44,2582.0
45,162.0
46,1674.0
47,1707.0
48,10093.0
49,3537.0
50,8621.0
51,44.0
52,430.0
53,2747.0
54,18594.0
55,2724.0
56,631457.0
57,1697.0
58,32.0
59,720.0
60,1000.0
61,3862.0
62,473.0
63,3372.0
64,311.0
65,60.0
66,1622.0
67,21210.0
68,5167.0
69,632.0
70,593.0
71,1285.0
72,785.0
73,20052.0
74,65050.0
75,1590.0
76,205367.0
77,7260.0
78,711.0
79,9758.0
80,10699.0
81,2921.0
82,58.0
83,1127.0
84,592.0
85,2779.0
86,5207.0
87,4200.0
88,480903.0
89,4305.0
90,1914.0
91,1860.0
92,1101.0
93,9845.0
94,1370.0
95,1650.0
